Date,Open,High,Low,Close,Volume
2014-12-31,15.13,15.18,14.99,15.01,999100
2015-01-02,15.1,15.14,14.81,14.92,1719600
2015-01-05,14.5,14.54,14.23,14.31,3498900
2015-01-06,14.17,14.23,13.91,14.0,2266400
2015-01-07,14.06,14.11,13.9,14.04,1897000
2015-01-08,14.13,14.41,14.11,14.28,2140700
2015-01-09,14.06,14.08,13.88,14.04,2461700
2015-01-12,14.03,14.09,13.88,14.03,1730000
2015-01-13,14.19,14.27,13.89,14.02,1911900
2015-01-14,13.8,13.85,13.58,13.81,4332500
2015-01-15,13.92,13.95,13.74,13.8,3556800
2015-01-16,13.73,13.73,13.52,13.63,4849400
2015-01-20,14.29,14.33,14.18,14.24,3865100
2015-01-21,14.19,14.41,14.17,14.41,3202800
2015-01-22,14.58,14.77,14.5,14.73,3339200
2015-01-23,14.59,14.65,14.47,14.55,2313300
2015-01-26,14.48,14.66,14.42,14.61,1876600
2015-01-27,14.56,14.66,14.47,14.56,1741800
2015-01-28,14.47,14.48,14.17,14.19,2803800
2015-01-29,14.25,14.37,14.2,14.32,2939500
2015-01-30,14.19,14.25,14.03,14.04,2464600
2015-02-02,14.14,14.29,14.1,14.27,2240600
2015-02-03,14.89,15.25,14.88,15.24,6817900
2015-02-04,14.95,15.22,14.95,15.04,3954600
2015-02-05,15.13,15.3,15.1,15.26,1571400
2015-02-06,15.53,15.7,15.42,15.45,2780700
2015-02-09,15.29,15.47,15.26,15.38,1446400
2015-02-10,15.33,15.5,15.31,15.48,2953500
2015-02-11,15.31,15.39,15.26,15.38,1452900
2015-02-12,15.62,15.67,15.49,15.65,4742200
2015-02-13,15.81,15.92,15.72,15.77,2736400
2015-02-17,15.74,15.98,15.63,15.93,4157900
2015-02-18,16.030001000000002,16.16,16.02,16.049999,3171700
2015-02-19,16.01,16.129998999999998,15.93,16.049999,1444200
2015-02-20,16.040001,16.23,15.91,16.200001,2273800
2015-02-23,16.09,16.25,16.01,16.209999,1922200
2015-02-24,16.18,16.35,16.15,16.299999,2629600
2015-02-25,16.32,16.35,16.23,16.309998999999998,2545100
2015-02-26,16.129998999999998,16.190001000000002,16.030001000000002,16.110001,1803000
2015-02-27,15.91,15.98,15.83,15.86,2596700
2015-03-02,16.09,16.200001,16.01,16.08,2284000
2015-03-03,15.72,15.86,15.59,15.66,5149300
2015-03-04,15.91,16.059998999999998,15.82,16.030001000000002,3679000
2015-03-05,16.09,16.26,16.09,16.17,2638300
2015-03-06,16.1,16.17,15.78,15.84,2419000
2015-03-09,15.67,15.76,15.53,15.72,2707500
2015-03-10,15.59,15.6,15.29,15.31,2629500
2015-03-11,15.15,15.32,15.09,15.24,2667100
2015-03-12,15.36,15.42,15.17,15.29,1801100
2015-03-13,14.88,14.95,14.69,14.92,4084300
2015-03-16,15.04,15.12,14.96,15.1,2841000
2015-03-17,14.78,14.98,14.76,14.95,2655900
2015-03-18,14.87,15.22,14.82,15.15,2896000
2015-03-19,15.1,15.13,14.91,14.97,2252700
2015-03-20,15.17,15.38,15.12,15.32,3141500
2015-03-23,15.46,15.49,15.36,15.4,1532400
2015-03-24,15.43,15.52,15.37,15.38,1770100
2015-03-25,15.12,15.2,15.01,15.07,2958500
2015-03-26,14.92,14.96,14.79,14.92,2013500
2015-03-27,14.69,14.74,14.58,14.73,3573700
2015-03-30,14.64,14.9,14.62,14.81,2860500
2015-03-31,14.48,14.6,14.43,14.57,3903800
2015-04-01,14.86,14.98,14.76,14.94,3196600
2015-04-02,15.13,15.25,15.1,15.2,2700800
2015-04-06,15.12,15.49,15.06,15.46,2393600
2015-04-07,15.4,15.54,15.38,15.4,2755900
2015-04-08,15.48,15.5,15.34,15.41,3043000
2015-04-09,15.37,15.4,15.26,15.38,1890400
2015-04-10,15.16,15.18,15.08,15.14,2075100
2015-04-13,15.27,15.34,15.24,15.28,2012000
2015-04-14,15.6,15.69,15.55,15.59,2136600
2015-04-15,15.52,15.58,15.43,15.53,2024800
2015-04-16,15.59,15.71,15.57,15.66,1936800
2015-04-17,15.44,15.48,15.23,15.36,2480600
2015-04-20,15.39,15.49,15.33,15.33,1580000
2015-04-21,15.36,15.4,15.27,15.29,1561600
2015-04-22,15.37,15.39,15.24,15.35,1707300
2015-04-23,15.49,15.76,15.47,15.66,3322000
2015-04-24,16.0,16.02,15.91,15.98,3003000
2015-04-27,16.02,16.16,16.01,16.09,3250400
2015-04-28,16.01,16.1,15.96,16.09,1945800
2015-04-29,15.91,16.1,15.79,16.040001,3613800
2015-04-30,15.64,15.84,15.61,15.74,3104600
2015-05-01,15.55,15.63,15.44,15.63,2440800
2015-05-04,15.61,15.73,15.61,15.71,1316100
2015-05-05,15.51,15.56,15.27,15.31,3691900
2015-05-06,15.25,15.32,15.12,15.2,1437600
2015-05-07,15.14,15.31,15.01,15.26,2211000
2015-05-08,16.049999,16.219998999999998,15.96,16.059998999999998,6169700
2015-05-11,16.299999,16.440001000000002,16.25,16.280001000000002,3609000
2015-05-12,16.25,16.27,16.129998999999998,16.219998999999998,1707800
2015-05-13,16.43,16.450001,16.32,16.41,2703100
2015-05-14,16.58,16.620001000000002,16.49,16.559998999999998,2593000
2015-05-15,16.540001,16.639999,16.49,16.540001,2297500
2015-05-18,16.41,16.469998999999998,16.360001,16.360001,1732900
2015-05-19,16.34,16.42,16.290001,16.299999,1183500
2015-05-20,16.6,16.950001,16.58,16.860001,5109000
2015-05-21,16.98,17.040001,16.950001,16.98,2926900
2015-05-22,16.799999,16.84,16.74,16.75,1233500
2015-05-26,16.469998999999998,16.48,16.24,16.32,2189300
2015-05-27,16.440001000000002,16.6,16.370001000000002,16.540001,2154100
2015-05-28,16.59,16.610001,16.5,16.530001000000002,3203500
2015-05-29,16.6,16.65,16.42,16.530001000000002,2075600
2015-06-01,16.389999,16.4,16.139999,16.209999,2144400
2015-06-02,16.4,16.540001,16.360001,16.48,1410000
2015-06-03,16.59,16.77,16.57,16.59,1278100
2015-06-04,16.48,16.57,16.299999,16.32,2078400
2015-06-05,16.110001,16.33,16.09,16.27,2126900
2015-06-08,16.16,16.17,16.07,16.1,2732300
2015-06-09,16.09,16.16,15.99,16.08,1762900
2015-06-10,16.43,16.709999,16.4,16.68,3996200
2015-06-11,16.76,16.85,16.6,16.690001000000002,8581500
2015-06-12,16.65,16.879998999999998,16.58,16.790001,2187800
2015-06-15,16.48,16.57,16.440001000000002,16.540001,1844200
2015-06-16,16.49,16.57,16.450001,16.540001,1406600
2015-06-17,16.530001000000002,16.620001000000002,16.43,16.559998999999998,2144200
2015-06-18,16.6,16.73,16.540001,16.620001000000002,2340700
2015-06-19,16.91,16.93,16.790001,16.790001,2770900
2015-06-22,17.15,17.27,17.09,17.15,2722700
2015-06-23,17.18,17.26,17.07,17.08,2502100
2015-06-24,17.299999,17.379998999999998,17.139999,17.15,2333200
2015-06-25,17.280001000000002,17.299999,17.1,17.129998999999998,2546300
2015-06-26,17.129998999999998,17.25,17.1,17.120001000000002,1930700
2015-06-29,16.77,16.84,16.49,16.5,3084300
2015-06-30,16.67,16.67,16.34,16.440001000000002,2600000
2015-07-01,16.620001000000002,16.719998999999998,16.57,16.639999,2559700
2015-07-02,16.66,16.700001,16.610001,16.65,1279300
2015-07-06,16.049999,16.23,16.02,16.139999,1934200
2015-07-07,15.84,16.030001000000002,15.53,16.0,3981300
2015-07-08,15.94,15.94,15.71,15.79,4001900
2015-07-09,16.129998999999998,16.17,15.93,15.95,3505700
2015-07-10,16.719998999999998,16.719998999999998,16.58,16.65,2705900
2015-07-13,17.049999,17.07,16.870001000000002,16.969998999999998,3721100
2015-07-14,17.059998999999998,17.25,17.0,17.209999,2702200
2015-07-15,17.25,17.42,17.209999,17.35,2160800
2015-07-16,17.51,17.549999,17.42,17.459999,1643400
2015-07-17,17.440001000000002,17.530001000000002,17.4,17.52,1409500
2015-07-20,17.48,17.530001000000002,17.43,17.469998999999998,1613200
2015-07-21,17.530001000000002,17.629998999999998,17.469998999999998,17.51,2314800
2015-07-22,17.459999,17.629998999999998,17.459999,17.620001000000002,1633800
2015-07-23,17.59,17.610001,17.35,17.370001000000002,1987300
2015-07-24,17.4,17.48,17.26,17.33,3124600
2015-07-27,17.33,17.34,17.1,17.17,3081300
2015-07-28,17.360001,17.49,17.290001,17.440001000000002,2171800
2015-07-29,17.799999,17.860001,17.73,17.780001000000002,2894400
2015-07-30,17.959999,17.969998999999998,17.77,17.83,4372000
2015-07-31,18.01,18.049999,17.950001,17.98,2322200
2015-08-03,17.969998999999998,18.02,17.790001,17.92,1794000
2015-08-04,17.610001,17.65,17.49,17.57,2460100
2015-08-05,17.59,17.620001000000002,17.379998999999998,17.450001,2374500
